epoch,train_accuracy,test_accuracy,train_loss,test_loss,learning_rate
136,75.96,75.35,0.6768826768373895,0.6979815939068794,2.44140625e-05
137,75.862,75.44,0.6789981699965494,0.6982874324917794,2.44140625e-05
138,75.976,75.38,0.6759492471394941,0.7013883858919143,2.44140625e-05
139,76.008,75.5,0.6763073301223843,0.696497149169445,2.44140625e-05
140,76.01,75.48,0.6742314152857837,0.6963234090805054,2.44140625e-05
141,75.832,75.36,0.6777045713056384,0.697106562256813,2.44140625e-05
142,76.012,75.66,0.6751642291960509,0.6949886998534203,2.44140625e-05
143,76.074,75.47,0.6725904814270146,0.6952378267049789,2.44140625e-05
144,76.142,75.5,0.6759078094111685,0.6952815112471581,2.44140625e-05
145,76.106,75.52,0.6734201231271105,0.6946452435851097,2.44140625e-05
146,75.982,75.5,0.6709785385967215,0.6939555257558823,2.44140625e-05
147,76.262,75.51,0.6691176568150825,0.6938083165884018,1.220703125e-05
148,76.186,75.55,0.6688125755475915,0.6931715750694275,1.220703125e-05
149,76.166,75.62,0.6670080495764837,0.6939091733098031,1.220703125e-05
150,76.346,75.38,0.6676442328926242,0.6938987320661545,1.220703125e-05
151,76.06,75.36,0.6708183716172758,0.6973547795414925,6.103515625e-06
152,76.178,75.36,0.6707400639191308,0.6945010137557983,6.103515625e-06
153,76.292,75.44,0.6692010765642766,0.6933760190010071,6.103515625e-06
154,76.172,75.68,0.6711524360625031,0.6912453958392143,6.103515625e-06
155,76.162,75.54,0.6686732887916857,0.6930642381310463,6.103515625e-06
156,76.302,75.51,0.6664037282204689,0.6921366631984711,6.103515625e-06
157,76.164,75.55,0.6698903478777317,0.6966300615668297,6.103515625e-06
158,76.378,75.53,0.6666934793562536,0.6907702773809433,6.103515625e-06
159,76.356,75.62,0.6684495732759881,0.6917848002910614,3.0517578125e-06
160,76.304,75.74,0.6681418726816202,0.6912821018695832,3.0517578125e-06
161,76.286,75.57,0.66700424196775,0.6910063996911049,3.0517578125e-06
162,76.4,75.5,0.6643049158251194,0.6930145332217217,3.0517578125e-06
163,76.266,75.53,0.6684204686023391,0.6922095987200737,3.0517578125e-06
164,76.478,75.57,0.6678194262639946,0.690179449915886,3.0517578125e-06
165,76.204,75.87,0.670065421506267,0.68966557264328,1.52587890625e-06
166,76.302,75.7,0.6687888503836854,0.6935835394263268,1.52587890625e-06
167,76.282,75.36,0.6704539951613492,0.6966270667314529,1.52587890625e-06
168,76.224,75.55,0.6687808139702244,0.6907769766449928,1.52587890625e-06
169,76.458,75.62,0.6686691433724845,0.6931383907794952,1.52587890625e-06
170,76.282,75.48,0.6678114620316059,0.696720139682293,7.62939453125e-07
171,76.304,75.64,0.666051206610087,0.691157263815403,7.62939453125e-07
172,76.406,75.49,0.6626085751806684,0.6919919106364251,7.62939453125e-07
173,76.464,75.61,0.6657596344838057,0.692267053425312,7.62939453125e-07
174,76.386,75.49,0.6642688962504687,0.691684447824955,3.814697265625e-07
175,76.32,75.41,0.6699218159289007,0.6906385084986687,3.814697265625e-07
176,76.272,75.57,0.6670886331507008,0.6902167719602584,3.814697265625e-07
177,76.078,75.57,0.6722201958794118,0.69447419911623,3.814697265625e-07
178,76.31,75.39,0.6670685550745796,0.6930904662609101,1.9073486328125e-07
179,76.432,75.73,0.6661742405818246,0.6902213600277901,1.9073486328125e-07
180,76.514,75.71,0.6659931873573977,0.6898132979869842,1.9073486328125e-07
181,76.388,75.46,0.6660991319457589,0.6933086732029915,1.9073486328125e-07
182,76.186,75.51,0.6678755194177408,0.6937723654508591,9.5367431640625e-08
183,75.958,75.58,0.669246305437649,0.6899618354439735,9.5367431640625e-08
184,76.28,75.53,0.6675250014990491,0.6906540602445602,9.5367431640625e-08
185,76.146,75.47,0.6697284125001229,0.6895680800080299,9.5367431640625e-08
186,76.246,75.46,0.6691423395405645,0.691884639263153,4.76837158203125e-08
187,76.286,75.52,0.6698665869662829,0.6903076440095901,4.76837158203125e-08
188,76.41,75.6,0.6663103212633401,0.6916278836131096,4.76837158203125e-08
189,76.282,75.44,0.6680246872060439,0.6928202506899833,4.76837158203125e-08
190,76.384,75.43,0.6691278966948809,0.6896167978644371,2.384185791015625e-08
191,76.068,75.56,0.6679787924679954,0.690659665465355,2.384185791015625e-08
192,76.086,75.79,0.6678793516457843,0.6889870172739029,2.384185791015625e-08
193,76.456,75.37,0.6651759240633387,0.6928306010365486,2.384185791015625e-08
194,76.172,75.47,0.6702734198411713,0.6913382649421692,1.1920928955078126e-08
195,76.346,75.72,0.6691043206950282,0.6902386718988418,1.1920928955078126e-08
196,76.44,75.54,0.6636543743445745,0.6915553244948387,1.1920928955078126e-08
197,76.222,75.55,0.6695953096117815,0.6940973272919655,1.1920928955078126e-08
198,76.212,75.51,0.6702715685910277,0.6926985031366348,1.1920928955078126e-08
199,76.316,75.59,0.6695509789240025,0.692108626961708,1.1920928955078126e-08
200,76.182,75.71,0.6703093484844393,0.6887271267175674,1.1920928955078126e-08
